area_m2,bedrooms,distance_km,age_years,price
190.0,2,2.5,3.0,504310
44.0,1,6.6,31.0,108630
33.0,2,2.8,19.0,79828
41.0,2,6.5,19.0,104647
103.0,2,5.8,12.0,308477
144.0,2,1.0,2.0,393559
125.0,3,0.9,22.0,428736
54.0,3,2.2,19.0,157756
82.0,4,1.7,34.0,267349
117.0,3,5.7,18.0,227349
151.0,5,6.6,8.0,439830
104.0,3,1.4,30.0,320407
50.0,3,0.8,33.0,123150
57.0,3,1.2,7.0,198267
241.0,3,2.1,38.0,695834
62.0,3,9.2,32.0,165759
67.0,2,3.0,5.0,175964
101.0,2,17.9,2.0,279879
65.0,3,2.1,9.0,179269
202.0,4,7.9,1.0,576889
198.0,4,9.6,20.0,545154
132.0,5,8.5,28.0,336997
67.0,3,1.6,8.0,216067
33.0,2,6.0,11.0,70453
93.0,3,10.4,27.0,247479
34.0,2,5.0,34.0,90089
176.0,4,11.1,25.0,479234
117.0,2,5.1,4.0,343749
138.0,4,5.0,34.0,338922
35.0,2,11.0,12.0,93994
135.0,3,3.8,4.0,377814
90.0,2,1.5,16.0,274114
82.0,3,10.0,18.0,237779
190.0,4,6.5,26.0,516754
135.0,4,4.9,6.0,378939
101.0,3,4.9,20.0,290539
53.0,2,4.4,11.0,135964
167.0,4,6.5,22.0,481939
157.0,3,1.5,21.0,450289
128.0,3,1.1,22.0,419014
58.0,2,5.8,3.0,161849
49.0,2,4.9,7.0,137964
30.0,1,8.2,36.0,79414
232.0,5,2.9,17.0,635469
86.0,2,3.5,12.0,222964
92.0,2,1.2,36.0,295064
118.0,3,4.1,35.0,334139
158.0,4,3.3,25.0,436564
83.0,2,4.1,22.0,253139
224.0,5,6.4,11.0,603289
132.0,5,2.6,6.0,387964
130.0,3,4.0,13.0,373264
180.0,3,5.5,30.0,512089
41.0,2,8.1,17.0,110539
150.0,3,0.9,29.0,501189
219.0,4,7.2,0.0,611014
83.0,2,5.3,26.0,253864
55.0,2,3.5,7.0,156314
61.0,3,5.2,29.0,148714
181.0,5,3.3,26.0,494539
149.0,4,1.1,23.0,474464
70.0,3,5.7,16.0,181564
34.0,2,4.4,36.0,73939
140.0,4,4.9,28.0,374089
73.0,3,5.3,32.0,207539
120.0,3,3.1,36.0,322564
99.0,2,3.7,12.0,277489
116.0,4,5.6,24.0,296464
141.0,3,3.0,13.0,381064
122.0,2,4.0,31.0,375739
61.0,2,1.6,15.0,180064
188.0,4,5.3,27.0,514589
93.0,3,4.8,29.0,272314
51.0,2,3.5,9.0,137489
154.0,4,2.3,18.0,457139
53.0,2,5.3,20.0,139714
195.0,4,6.5,6.0,550439
97.0,2,5.1,9.0,274664
199.0,4,5.7,15.0,556939
165.0,3,2.0,15.0,464314
115.0,3,5.3,15.0,319889
115.0,3,5.9,27.0,294164
157.0,3,6.4,25.0,436814
52.0,2,1.6,31.0,172639
144.0,4,3.3,20.0,409814
125.0,4,4.1,24.0,336014
176.0,3,1.0,3.0,517714
84.0,2,4.9,27.0,263539
96.0,3,2.1,27.0,317789
154.0,4,4.4,37.0,404139
133.0,3,4.4,27.0,362314
51.0,2,7.5,19.0,136064
49.0,3,2.9,21.0,120964
63.0,3,2.5,30.0,203014
160.0,3,1.7,16.0,466889
117.0,2,3.4,19.0,356539
111.0,2,4.6,6.0,315664
177.0,3,2.3,20.0,502639
108.0,4,4.0,35.0,285089
136.0,3,5.9,7.0,374789
220.0,4,2.3,13.0,631564
65.0,2,4.9,16.0,168914
123.0,3,4.0,1.0,348739
231.0,4,2.1,6.0,680014
169.0,3,2.3,8.0,474514
139.0,5,2.4,28.0,399639
108.0,3,3.0,25.0,322414
109.0,2,4.1,17.0,323764
56.0,2,4.7,31.0,161489
70.0,2,6.4,18.0,178889
77.0,3,4.0,36.0,245389
140.0,4,1.9,13.0,434164
122.0,3,4.7,36.0,324089
100.0,2,5.2,21.0,290889
47.0,2,5.2,29.0,122564
74.0,3,5.8,23.0,203964
204.0,4,5.8,9.0,575539
190.0,4,4.8,15.0,546664
165.0,4,0.7,14.0,534839
130.0,3,5.0,15.0,367889
147.0,3,3.6,17.0,408664
147.0,4,2.7,3.0,427889
96.0,2,1.9,17.0,302914
75.0,3,4.1,20.0,222914
56.0,3,5.3,35.0,153364
58.0,3,5.7,35.0,158089
104.0,3,4.1,9.0,301339
134.0,4,2.6,24.0,405714
48.0,2,5.9,9.0,127789
145.0,3,5.0,7.0,405664
177.0,5,5.7,20.0,468964
128.0,4,3.8,35.0,349214
189.0,4,4.5,17.0,538164
42.0,1,10.1,13.0,114914
170.0,4,6.3,9.0,478214
176.0,4,3.9,5.0,501739
134.0,5,3.4,11.0,372514
54.0,2,4.0,13.0,150214
161.0,3,5.6,28.0,445964
46.0,3,6.1,36.0,117064
74.0,3,5.3,22.0,207689
91.0,2,4.5,16.0,260414
130.0,3,4.5,30.0,351764
140.0,4,3.1,20.0,410664
48.0,2,5.2,10.0,129914
75.0,2,5.8,8.0,207789
83.0,3,4.7,9.0,238664
114.0,3,5.1,14.0,323389
127.0,3,1.9,14.0,381989
127.0,4,5.0,27.0,334064
128.0,3,5.1,16.0,357614
88.0,3,3.6,10.0,256364
215.0,4,3.9,6.0,609739
46.0,2,4.9,22.0,117464
111.0,3,2.2,15.0,342414
44.0,2,1.6,38.0,136814
35.0,1,4.8,30.0,101839
200.0,5,4.0,29.0,544589
128.0,3,4.7,35.0,346014
92.0,2,6.1,9.0,254989
131.0,3,2.0,27.0,416414
55.0,2,6.1,17.0,147739
128.0,4,4.2,14.0,360564
103.0,3,4.7,26.0,284414
85.0,3,4.7,31.0,246914
163.0,4,5.2,20.0,459089
218.0,5,5.5,24.0,577889
42.0,1,2.0,28.0,135964
45.0,2,4.8,11.0,120889
44.0,2,2.2,13.0,121639
163.0,4,4.7,3.0,463889
134.0,3,2.2,9.0,398464
89.0,2,4.6,32.0,271864
47.0,2,4.8,14.0,126964
104.0,4,4.3,13.0,287764
191.0,4,6.6,13.0,531989
90.0,3,4.7,34.0,251089
45.0,2,5.6,19.0,118489
71.0,2,3.6,21.0,218614
108.0,3,3.7,36.0,307889
93.0,2,3.5,14.0,276664
